gocam,sizes
http://model.geneontology.org/6258b8f300000398,19
http://model.geneontology.org/R-HSA-1592389,19
http://model.geneontology.org/R-HSA-203927,19
http://model.geneontology.org/5e72450500004019,19
http://model.geneontology.org/R-HSA-156584,19
http://model.geneontology.org/R-HSA-181429,19
http://model.geneontology.org/R-HSA-1489509,18
http://model.geneontology.org/R-HSA-1237044,18
http://model.geneontology.org/R-HSA-168928,18
http://model.geneontology.org/R-HSA-70268,18
http://model.geneontology.org/R-HSA-1855183,18
http://model.geneontology.org/R-HSA-5655862,18
http://model.geneontology.org/R-HSA-69273,18
http://model.geneontology.org/R-HSA-5654693,18
http://model.geneontology.org/R-HSA-5654710,18
http://model.geneontology.org/R-HSA-174048,18
http://model.geneontology.org/R-HSA-399710,18
http://model.geneontology.org/R-HSA-2162123,18
http://model.geneontology.org/R-HSA-156581,18
http://model.geneontology.org/R-HSA-9013973,18
http://model.geneontology.org/R-HSA-5693568,17
http://model.geneontology.org/R-HSA-264876,17
http://model.geneontology.org/R-HSA-3928662,17
http://model.geneontology.org/R-HSA-6783783,17
http://model.geneontology.org/R-HSA-1358803,17
http://model.geneontology.org/R-HSA-179409,17
http://model.geneontology.org/R-HSA-196757,17
http://model.geneontology.org/5e72450500004237,17
http://model.geneontology.org/R-HSA-140837,17
http://model.geneontology.org/R-HSA-70171,17
http://model.geneontology.org/R-HSA-202433,16
http://model.geneontology.org/R-HSA-5578775,16
http://model.geneontology.org/R-HSA-1475029,16
http://model.geneontology.org/R-HSA-8866654,16
http://model.geneontology.org/R-HSA-446193,16
http://model.geneontology.org/R-HSA-71336,16
http://model.geneontology.org/R-HSA-389661,16
http://model.geneontology.org/R-HSA-917977,16
http://model.geneontology.org/R-HSA-1266695,16
http://model.geneontology.org/R-HSA-389357,16
http://model.geneontology.org/R-HSA-211976,16
http://model.geneontology.org/R-HSA-8964539,15
http://model.geneontology.org/R-HSA-71737,15
http://model.geneontology.org/R-HSA-3322077,15
http://model.geneontology.org/R-HSA-9749641,15
http://model.geneontology.org/R-HSA-5601884,15
http://model.geneontology.org/R-HSA-5654700,15
http://model.geneontology.org/R-HSA-4085001,15
http://model.geneontology.org/R-HSA-5654695,15
http://model.geneontology.org/R-HSA-5654706,15
http://model.geneontology.org/R-HSA-416482,15
http://model.geneontology.org/R-HSA-5627117,15
http://model.geneontology.org/R-HSA-6804758,15
http://model.geneontology.org/R-HSA-112043,15
http://model.geneontology.org/R-HSA-1257604,15
http://model.geneontology.org/R-HSA-8984722,15
http://model.geneontology.org/R-HSA-5654689,15
http://model.geneontology.org/R-HSA-74259,15
http://model.geneontology.org/R-HSA-2022377,15
http://model.geneontology.org/R-HSA-196807,15
http://model.geneontology.org/R-HSA-1483213,15
http://model.geneontology.org/61e0e55600001225,15
http://model.geneontology.org/R-HSA-111932,14
http://model.geneontology.org/R-HSA-1433557,14
http://model.geneontology.org/R-HSA-189451,14
http://model.geneontology.org/R-HSA-71240,14
http://model.geneontology.org/R-HSA-70221,14
http://model.geneontology.org/R-HSA-2514859,14
http://model.geneontology.org/R-HSA-5625740,14
http://model.geneontology.org/R-HSA-451307,14
http://model.geneontology.org/R-HSA-5673001,14
http://model.geneontology.org/R-HSA-203615,14
http://model.geneontology.org/R-HSA-189483,14
http://model.geneontology.org/R-HSA-69473,14
http://model.geneontology.org/R-HSA-77387,14
http://model.geneontology.org/R-HSA-69231,14
http://model.geneontology.org/R-HSA-71064,13
http://model.geneontology.org/R-HSA-6804760,13
http://model.geneontology.org/R-HSA-73776,13
http://model.geneontology.org/R-HSA-202430,13
http://model.geneontology.org/R-HSA-197264,13
http://model.geneontology.org/R-HSA-8943724,13
http://model.geneontology.org/R-HSA-3108214,13
http://model.geneontology.org/R-HSA-977444,13
http://model.geneontology.org/R-HSA-418555,13
http://model.geneontology.org/R-HSA-1650814,13
http://model.geneontology.org/R-HSA-418597,13
http://model.geneontology.org/R-HSA-6811558,13
http://model.geneontology.org/R-HSA-75105,13
http://model.geneontology.org/R-HSA-1660516,13
http://model.geneontology.org/R-HSA-9705462,13
http://model.geneontology.org/R-HSA-390666,13
http://model.geneontology.org/R-HSA-5654688,13
http://model.geneontology.org/R-HSA-1855204,13
http://model.geneontology.org/R-HSA-420499,13
http://model.geneontology.org/R-HSA-1614635,13
http://model.geneontology.org/R-HSA-977606,13
http://model.geneontology.org/5fce9b7300000434,13
http://model.geneontology.org/R-HSA-77075,13
http://model.geneontology.org/R-HSA-674695,13
http://model.geneontology.org/R-HSA-1250196,13
http://model.geneontology.org/R-HSA-5654719,13
http://model.geneontology.org/R-HSA-180024,13
http://model.geneontology.org/60897d8500000494,12
http://model.geneontology.org/R-HSA-727802,12
http://model.geneontology.org/R-HSA-70635,12
http://model.geneontology.org/R-HSA-2565942,12
http://model.geneontology.org/6246724f00001700,12
http://model.geneontology.org/R-HSA-6790901,12
http://model.geneontology.org/R-HSA-9717207,12
http://model.geneontology.org/R-HSA-4090294,12
http://model.geneontology.org/R-HSA-2046106,12
http://model.geneontology.org/R-HSA-9670095,12
http://model.geneontology.org/R-HSA-75876,12
http://model.geneontology.org/R-HSA-73621,12
http://model.geneontology.org/R-HSA-171319,12
http://model.geneontology.org/R-HSA-9620244,12
http://model.geneontology.org/R-HSA-442982,12
http://model.geneontology.org/R-HSA-3928665,12
http://model.geneontology.org/R-HSA-975634,12
http://model.geneontology.org/R-HSA-74217,12
http://model.geneontology.org/R-HSA-532668,12
http://model.geneontology.org/R-HSA-936964,11
http://model.geneontology.org/R-HSA-2151201,11
http://model.geneontology.org/R-HSA-73817,11
http://model.geneontology.org/R-HSA-8851805,11
http://model.geneontology.org/R-HSA-69541,11
http://model.geneontology.org/R-HSA-3371497,11
http://model.geneontology.org/R-HSA-162710,11
http://model.geneontology.org/R-HSA-445355,11
http://model.geneontology.org/R-HSA-171007,11
http://model.geneontology.org/R-HSA-9759218,11
http://model.geneontology.org/R-HSA-9020558,11
http://model.geneontology.org/R-HSA-140875,11
http://model.geneontology.org/R-HSA-1251985,11
http://model.geneontology.org/R-HSA-5654733,11
http://model.geneontology.org/R-HSA-5423646,11
http://model.geneontology.org/R-HSA-5663213,11
http://model.geneontology.org/R-HSA-2871796,11
http://model.geneontology.org/R-HSA-9009391,11
http://model.geneontology.org/R-HSA-159418,11
http://model.geneontology.org/R-HSA-186763,11
http://model.geneontology.org/R-HSA-5693554,11
http://model.geneontology.org/627d95ee00000275,10
http://model.geneontology.org/R-HSA-6803204,10
http://model.geneontology.org/613aae0000000061,10
http://model.geneontology.org/60e7989d00000165,10
http://model.geneontology.org/R-HSA-205043,10
http://model.geneontology.org/R-HSA-389887,10
http://model.geneontology.org/R-HSA-212300,10
http://model.geneontology.org/R-HSA-5365859,10
http://model.geneontology.org/R-HSA-432040,10
http://model.geneontology.org/R-HSA-5675221,10
http://model.geneontology.org/R-HSA-200425,10
http://model.geneontology.org/R-HSA-428643,10
http://model.geneontology.org/623d156d00000029,10
http://model.geneontology.org/R-HSA-977225,10
http://model.geneontology.org/R-HSA-196299,10
http://model.geneontology.org/R-HSA-392451,10
http://model.geneontology.org/R-HSA-8949215,10
http://model.geneontology.org/R-HSA-8963693,10
http://model.geneontology.org/R-HSA-3899300,10
http://model.geneontology.org/R-HSA-1250347,10
http://model.geneontology.org/R-HSA-425410,10
http://model.geneontology.org/R-HSA-3214858,10
http://model.geneontology.org/R-HSA-156588,10
http://model.geneontology.org/5745387b00001516,10
http://model.geneontology.org/R-HSA-9037629,10
http://model.geneontology.org/6205c24300000330,10
http://model.geneontology.org/R-HSA-1482839,10
http://model.geneontology.org/R-HSA-8941413,10
http://model.geneontology.org/R-HSA-4551638,10
http://model.geneontology.org/R-HSA-5693571,10
http://model.geneontology.org/R-HSA-75205,10
http://model.geneontology.org/R-HSA-375276,10
http://model.geneontology.org/R-HSA-193775,10
http://model.geneontology.org/R-HSA-9730628,10
http://model.geneontology.org/R-HSA-5654704,10
http://model.geneontology.org/R-HSA-3232118,10
http://model.geneontology.org/R-HSA-5654699,10
http://model.geneontology.org/R-HSA-9748787,10
http://model.geneontology.org/R-HSA-2022928,10
http://model.geneontology.org/R-HSA-5685942,10
http://model.geneontology.org/R-HSA-2453902,10
http://model.geneontology.org/R-HSA-912694,10
http://model.geneontology.org/R-HSA-2142691,10
http://model.geneontology.org/R-HSA-176187,10
http://model.geneontology.org/R-HSA-2485179,9
http://model.geneontology.org/R-HSA-110329,9
http://model.geneontology.org/R-HSA-168638,9
http://model.geneontology.org/R-HSA-156590,9
http://model.geneontology.org/R-HSA-2142789,9
http://model.geneontology.org/R-HSA-170984,9
http://model.geneontology.org/R-HSA-75035,9
http://model.geneontology.org/60ad85f700003015,9
http://model.geneontology.org/6205c24300000880,9
http://model.geneontology.org/R-HSA-389359,9
http://model.geneontology.org/R-HSA-5673000,9
http://model.geneontology.org/R-HSA-182971,9
http://model.geneontology.org/R-HSA-2022870,9
http://model.geneontology.org/R-HSA-5654219,9
http://model.geneontology.org/R-HSA-422085,9
http://model.geneontology.org/R-HSA-9753281,9
http://model.geneontology.org/R-HSA-75109,9
http://model.geneontology.org/R-HSA-112126,9
http://model.geneontology.org/R-HSA-5674135,9
http://model.geneontology.org/R-HSA-211979,9
http://model.geneontology.org/R-HSA-174411,9
http://model.geneontology.org/R-HSA-5654732,9
http://model.geneontology.org/R-HSA-1482801,9
http://model.geneontology.org/R-HSA-9662360,9
http://model.geneontology.org/R-HSA-442729,9
http://model.geneontology.org/R-HSA-1483248,9
http://model.geneontology.org/62900b6400002552,9
http://model.geneontology.org/59cc772c00000000,9
http://model.geneontology.org/R-HSA-2028269,9
http://model.geneontology.org/R-HSA-1482925,9
http://model.geneontology.org/R-HSA-5685939,9
http://model.geneontology.org/R-HSA-9634638,9
http://model.geneontology.org/R-HSA-418594,9
http://model.geneontology.org/R-HSA-1251932,9
http://model.geneontology.org/R-HSA-9031628,9
http://model.geneontology.org/R-HSA-390247,9
http://model.geneontology.org/R-HSA-1482788,9
http://model.geneontology.org/R-HSA-879518,9
http://model.geneontology.org/R-HSA-5654727,9
http://model.geneontology.org/R-HSA-196791,9
http://model.geneontology.org/R-HSA-113501,9
http://model.geneontology.org/R-HSA-5654726,9
http://model.geneontology.org/626b20c100000185,9
http://model.geneontology.org/R-HSA-70921,9
http://model.geneontology.org/R-HSA-1482922,9
http://model.geneontology.org/R-HSA-111931,9
http://model.geneontology.org/R-HSA-6807004,9
http://model.geneontology.org/R-HSA-174403,9
http://model.geneontology.org/R-HSA-913709,9
http://model.geneontology.org/R-HSA-5689896,9
http://model.geneontology.org/R-HSA-9032845,9
http://model.geneontology.org/R-HSA-5620971,9
http://model.geneontology.org/60d5209a00001406,8
http://model.geneontology.org/R-HSA-1614558,8
http://model.geneontology.org/R-HSA-2173795,8
http://model.geneontology.org/R-HSA-9634597,8
http://model.geneontology.org/R-HSA-1855196,8
http://model.geneontology.org/R-HSA-5205685,8
http://model.geneontology.org/R-HSA-4419969,8
http://model.geneontology.org/R-HSA-8863795,8
http://model.geneontology.org/R-HSA-982772,8
http://model.geneontology.org/R-HSA-381771,8
http://model.geneontology.org/5fadbcf000002236,8
http://model.geneontology.org/R-HSA-198203,8
http://model.geneontology.org/6258b8f300000188,8
http://model.geneontology.org/627d95ee00000472,8
http://model.geneontology.org/R-HSA-110357,8
http://model.geneontology.org/R-HSA-375165,8
http://model.geneontology.org/622aace900000962,8
http://model.geneontology.org/R-HSA-76005,8
http://model.geneontology.org/R-HSA-6807878,8
http://model.geneontology.org/R-HSA-4755510,8
http://model.geneontology.org/R-HSA-9639288,8
http://model.geneontology.org/R-HSA-426048,8
http://model.geneontology.org/R-HSA-9648002,8
http://model.geneontology.org/R-HSA-1483148,8
http://model.geneontology.org/R-HSA-1660514,8
http://model.geneontology.org/R-HSA-909733,8
http://model.geneontology.org/R-HSA-2173788,8
http://model.geneontology.org/R-HSA-2024096,8
http://model.geneontology.org/R-HSA-114508,8
http://model.geneontology.org/R-HSA-5357905,8
http://model.geneontology.org/R-HSA-110362,8
http://model.geneontology.org/R-HSA-2408508,8
http://model.geneontology.org/R-HSA-1237112,8
http://model.geneontology.org/R-HSA-8983711,8
http://model.geneontology.org/R-HSA-186797,8
http://model.geneontology.org/R-HSA-8850843,8
http://model.geneontology.org/R-HSA-8981373,8
http://model.geneontology.org/5ce58dde00001215,8
http://model.geneontology.org/R-HSA-446210,8
http://model.geneontology.org/R-HSA-400511,8
http://model.geneontology.org/R-HSA-512988,8
http://model.geneontology.org/R-HSA-9619229,8
http://model.geneontology.org/R-HSA-9026527,8
http://model.geneontology.org/R-HSA-189085,8
http://model.geneontology.org/R-HSA-72187,8
http://model.geneontology.org/R-HSA-196783,8
http://model.geneontology.org/5fadbcf000000942,8
http://model.geneontology.org/617b481400000460,8
http://model.geneontology.org/R-HSA-5654228,8
http://model.geneontology.org/5f46c3b700003802,8
http://model.geneontology.org/R-HSA-4641263,8
http://model.geneontology.org/R-HSA-2424491,8
http://model.geneontology.org/R-HSA-6803207,8
http://model.geneontology.org/R-HSA-1614517,8
http://model.geneontology.org/R-HSA-1482798,8
http://model.geneontology.org/5fadbcf000000480,8
http://model.geneontology.org/R-HSA-2122948,8
http://model.geneontology.org/R-HSA-6798163,8
http://model.geneontology.org/R-HSA-2179392,8
http://model.geneontology.org/R-HSA-77111,8
http://model.geneontology.org/R-HSA-163560,8
http://model.geneontology.org/R-HSA-6787450,8
http://model.geneontology.org/626b20c100000025,8
http://model.geneontology.org/6205c24300001663,8
http://model.geneontology.org/R-HSA-193144,8
http://model.geneontology.org/R-HSA-8849471,8
http://model.geneontology.org/R-HSA-199220,7
http://model.geneontology.org/5fadbcf000000868,7
http://model.geneontology.org/R-HSA-432142,7
http://model.geneontology.org/R-HSA-446199,7
http://model.geneontology.org/5fadbcf000001962,7
http://model.geneontology.org/R-HSA-174414,7
http://model.geneontology.org/R-HSA-170968,7
http://model.geneontology.org/R-HSA-6814848,7
http://model.geneontology.org/R-HSA-77346,7
http://model.geneontology.org/R-HSA-1445148,7
http://model.geneontology.org/R-HSA-9662361,7
http://model.geneontology.org/R-HSA-6809371,7
http://model.geneontology.org/R-HSA-2559586,7
http://model.geneontology.org/R-HSA-71384,7
http://model.geneontology.org/R-HSA-5358565,7
http://model.geneontology.org/R-HSA-6782135,7
http://model.geneontology.org/R-HSA-73856,7
http://model.geneontology.org/R-HSA-2730905,7
http://model.geneontology.org/R-HSA-77352,7
http://model.geneontology.org/R-HSA-5649702,7
http://model.geneontology.org/60ad85f700002694,7
http://model.geneontology.org/R-HSA-2024101,7
http://model.geneontology.org/R-HSA-975578,7
http://model.geneontology.org/R-HSA-5358606,7
http://model.geneontology.org/R-HSA-2022854,7
http://model.geneontology.org/R-HSA-9027283,7
http://model.geneontology.org/R-HSA-389599,7
http://model.geneontology.org/627d95ee00000024,7
http://model.geneontology.org/R-HSA-6811555,7
