gocam,sizes
http://model.geneontology.org/R-HSA-5610787,55
http://model.geneontology.org/R-HSA-5218921,55
http://model.geneontology.org/R-HSA-5610785,54
http://model.geneontology.org/R-HSA-8939902,54
http://model.geneontology.org/R-HSA-983170,54
http://model.geneontology.org/R-HSA-5610783,54
http://model.geneontology.org/R-HSA-176408,54
http://model.geneontology.org/R-HSA-193648,53
http://model.geneontology.org/R-HSA-5610780,53
http://model.geneontology.org/R-HSA-68949,52
http://model.geneontology.org/R-HSA-2029485,52
http://model.geneontology.org/R-HSA-2871809,52
http://model.geneontology.org/R-HSA-1236974,52
http://model.geneontology.org/R-HSA-5358346,52
http://model.geneontology.org/R-HSA-422356,51
http://model.geneontology.org/R-HSA-174113,51
http://model.geneontology.org/R-HSA-3371453,51
http://model.geneontology.org/R-HSA-4420097,51
http://model.geneontology.org/R-HSA-9604323,51
http://model.geneontology.org/R-HSA-9010553,51
http://model.geneontology.org/R-HSA-5607761,51
http://model.geneontology.org/R-HSA-5676590,51
http://model.geneontology.org/R-HSA-187577,50
http://model.geneontology.org/R-HSA-8854050,50
http://model.geneontology.org/R-HSA-5632684,50
http://model.geneontology.org/R-HSA-8852276,50
http://model.geneontology.org/R-HSA-1234176,49
http://model.geneontology.org/R-HSA-176407,49
http://model.geneontology.org/R-HSA-69601,49
http://model.geneontology.org/R-HSA-4641257,49
http://model.geneontology.org/R-HSA-8939236,49
http://model.geneontology.org/R-HSA-69481,48
http://model.geneontology.org/R-HSA-349425,47
http://model.geneontology.org/R-HSA-4608870,47
http://model.geneontology.org/R-HSA-5607763,47
http://model.geneontology.org/R-HSA-5668541,47
http://model.geneontology.org/R-HSA-4641258,47
http://model.geneontology.org/R-HSA-165158,46
http://model.geneontology.org/R-HSA-75815,46
http://model.geneontology.org/R-HSA-8941858,46
http://model.geneontology.org/R-HSA-211733,46
http://model.geneontology.org/R-HSA-1489509,45
http://model.geneontology.org/R-HSA-1483166,45
http://model.geneontology.org/R-HSA-1236978,45
http://model.geneontology.org/R-HSA-176409,45
http://model.geneontology.org/R-HSA-9749641,45
http://model.geneontology.org/R-HSA-450408,45
http://model.geneontology.org/R-HSA-3299685,44
http://model.geneontology.org/R-HSA-9762114,44
http://model.geneontology.org/R-HSA-1483191,44
http://model.geneontology.org/R-HSA-427413,44
http://model.geneontology.org/R-HSA-202433,43
http://model.geneontology.org/R-HSA-5693565,43
http://model.geneontology.org/R-HSA-1169408,41
http://model.geneontology.org/R-HSA-499943,41
http://model.geneontology.org/R-HSA-156590,40
http://model.geneontology.org/R-HSA-5674135,40
http://model.geneontology.org/R-HSA-112043,39
http://model.geneontology.org/R-HSA-264642,39
http://model.geneontology.org/R-HSA-913709,39
http://model.geneontology.org/R-HSA-202430,38
http://model.geneontology.org/R-HSA-1660661,38
http://model.geneontology.org/R-HSA-5389840,38
http://model.geneontology.org/R-HSA-70263,38
http://model.geneontology.org/R-HSA-379716,37
http://model.geneontology.org/R-HSA-5578775,37
http://model.geneontology.org/R-HSA-9013026,37
http://model.geneontology.org/R-HSA-210500,37
http://model.geneontology.org/R-HSA-212300,37
http://model.geneontology.org/R-HSA-5368286,37
http://model.geneontology.org/R-HSA-1660662,36
http://model.geneontology.org/R-HSA-114508,36
http://model.geneontology.org/R-HSA-438066,35
http://model.geneontology.org/R-HSA-76005,35
http://model.geneontology.org/R-HSA-5578749,34
http://model.geneontology.org/R-HSA-6783310,34
http://model.geneontology.org/R-HSA-6804756,34
http://model.geneontology.org/R-HSA-1222556,34
http://model.geneontology.org/R-HSA-170822,34
http://model.geneontology.org/R-HSA-1483213,33
http://model.geneontology.org/R-HSA-442660,33
http://model.geneontology.org/R-HSA-5693568,33
http://model.geneontology.org/R-HSA-1855183,32
http://model.geneontology.org/R-HSA-1855204,32
http://model.geneontology.org/R-HSA-70171,32
http://model.geneontology.org/R-HSA-83936,32
http://model.geneontology.org/R-HSA-912446,32
http://model.geneontology.org/R-HSA-2559582,32
http://model.geneontology.org/R-HSA-9013106,32
http://model.geneontology.org/R-HSA-1632852,32
http://model.geneontology.org/R-HSA-9707564,31
http://model.geneontology.org/R-HSA-4085001,31
http://model.geneontology.org/R-HSA-71403,31
http://model.geneontology.org/R-HSA-9634597,30
http://model.geneontology.org/R-HSA-427389,30
http://model.geneontology.org/R-HSA-1482839,30
http://model.geneontology.org/R-HSA-9013404,30
http://model.geneontology.org/R-HSA-5656169,30
http://model.geneontology.org/R-HSA-6807505,29
http://model.geneontology.org/R-HSA-9013423,29
http://model.geneontology.org/R-HSA-6781823,29
http://model.geneontology.org/R-HSA-73772,29
http://model.geneontology.org/R-HSA-73863,29
http://model.geneontology.org/R-HSA-70268,28
http://model.geneontology.org/R-HSA-5696395,28
http://model.geneontology.org/R-HSA-5693607,27
http://model.geneontology.org/R-HSA-69231,27
http://model.geneontology.org/R-HSA-5654727,27
http://model.geneontology.org/R-HSA-917977,27
http://model.geneontology.org/R-HSA-426048,27
http://model.geneontology.org/R-HSA-72086,27
http://model.geneontology.org/R-HSA-1482788,27
http://model.geneontology.org/R-HSA-392451,26
http://model.geneontology.org/R-HSA-5654695,26
http://model.geneontology.org/R-HSA-75109,26
http://model.geneontology.org/R-HSA-1482922,26
http://model.geneontology.org/R-HSA-6804757,26
http://model.geneontology.org/R-HSA-198203,26
http://model.geneontology.org/R-HSA-445355,26
http://model.geneontology.org/R-HSA-156588,26
http://model.geneontology.org/R-HSA-2559580,25
http://model.geneontology.org/R-HSA-1251985,25
http://model.geneontology.org/R-HSA-1358803,25
http://model.geneontology.org/R-HSA-5654700,25
http://model.geneontology.org/R-HSA-180024,25
http://model.geneontology.org/R-HSA-1268020,25
http://model.geneontology.org/R-HSA-1475029,24
http://model.geneontology.org/R-HSA-191273,24
http://model.geneontology.org/R-HSA-75876,24
http://model.geneontology.org/R-HSA-5675221,24
http://model.geneontology.org/R-HSA-193368,24
http://model.geneontology.org/R-HSA-5693554,24
http://model.geneontology.org/R-HSA-5668599,24
http://model.geneontology.org/R-HSA-77387,24
http://model.geneontology.org/R-HSA-5654726,24
http://model.geneontology.org/R-HSA-5654699,24
http://model.geneontology.org/R-HSA-5685942,23
http://model.geneontology.org/R-HSA-1592389,23
http://model.geneontology.org/R-HSA-5654689,23
http://model.geneontology.org/R-HSA-1482801,23
http://model.geneontology.org/R-HSA-2514859,23
http://model.geneontology.org/R-HSA-399710,23
http://model.geneontology.org/R-HSA-1236394,23
http://model.geneontology.org/R-HSA-2022928,23
http://model.geneontology.org/R-HSA-5627123,23
http://model.geneontology.org/R-HSA-2022854,23
http://model.geneontology.org/R-HSA-1482925,23
http://model.geneontology.org/R-HSA-1237044,22
http://model.geneontology.org/R-HSA-5654693,22
http://model.geneontology.org/R-HSA-8854691,22
http://model.geneontology.org/R-HSA-8866654,22
http://model.geneontology.org/R-HSA-156584,22
